GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courses,edu.ucsb.cs156.courses.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,ApiController,0,33,0,0,0,10,0,6,0,6
courses,edu.ucsb.cs156.courses.controllers,PersonalSectionsController,0,82,0,2,0,17,0,5,0,4
courses,edu.ucsb.cs156.courses.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,PersonalSchedulesController,0,263,0,4,0,52,0,19,0,17
courses,edu.ucsb.cs156.courses.controllers,UCSBCurriculumController,0,23,0,0,0,5,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,UCSBSectionsController,0,33,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.courses.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,PSCourseController,0,545,0,34,0,111,0,38,0,21
courses,edu.ucsb.cs156.courses.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,CourseOverTimeController,0,93,0,2,0,17,0,4,0,3
courses,edu.ucsb.cs156.courses.controllers,JobsController,0,67,0,0,0,17,0,7,0,7
courses,edu.ucsb.cs156.courses.controllers,UCSBSubjectsController,0,109,0,0,0,24,0,10,0,10
courses,edu.ucsb.cs156.courses.documents,Course,0,4,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,CoursePage,0,93,0,4,0,26,0,5,0,3
courses,edu.ucsb.cs156.courses.documents,TimeLocation,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,CourseInfo,0,6,0,0,0,2,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,ConvertedSection,0,26,0,0,0,7,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,Instructor,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,Section,0,6,0,0,0,2,0,1,0,1
courses,edu.ucsb.cs156.courses.jobs,TestJob,0,31,0,4,0,10,0,3,0,1
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataRangeOfQuartersSingleSubjectJob,0,34,0,2,0,7,0,3,0,2
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataJob,0,124,0,4,0,31,0,4,0,2
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataWithQuarterJob,0,149,0,6,0,37,0,5,0,2
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataJobFactory,0,27,0,0,0,5,0,3,0,3
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataWithQuarterJobFactory,0,33,0,0,0,6,0,3,0,3
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataRangeOfQuartersSingleSubjectJobFactory,0,14,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataRangeOfQuartersJob,0,155,0,8,0,39,0,7,0,3
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataRangeOfQuartersJobFactory,0,52,0,2,0,10,0,4,0,3
courses,edu.ucsb.cs156.courses.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
courses,edu.ucsb.cs156.courses.errors,BadEnrollCdException,0,12,0,0,0,3,0,1,0,1
courses,edu.ucsb.cs156.courses.models,Quarter,0,412,0,43,0,93,0,43,0,21
courses,edu.ucsb.cs156.courses.services,UCSBSubjectsService,0,58,0,0,0,13,0,3,0,3
courses,edu.ucsb.cs156.courses.services,SystemInfoServiceImpl,0,33,0,0,0,11,0,3,0,3
courses,edu.ucsb.cs156.courses.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.courses.services,UCSBSubjectsService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
courses,edu.ucsb.cs156.courses.services,UCSBCurriculumService,0,627,0,6,0,137,0,12,0,9
courses,edu.ucsb.cs156.courses.services.jobs,JobService,0,53,0,0,0,18,0,3,0,3
courses,edu.ucsb.cs156.courses.services.jobs,JobContext,0,48,0,4,0,7,0,4,0,2
